V0,boulder,V0,0,6,V0,,http://www.mountainproject.com//v/v0/107388426
V1,boulder,V1,1,,V1,,http://www.mountainproject.com//v/v1/107388405
V1's,boulder,V1's,1,8,V1's,,http://www.mountainproject.com//v/v1s/107388438
Alabama Power Co.,boulder,Alabama Power Co.,8,10,Alabama Power Co.,,http://www.mountainproject.com//v/alabama-power-co/107379450
Boy Scout Crack,boulder,Boy Scout Crack,1.5,10,Boy Scout Crack,,http://www.mountainproject.com//v/boy-scout-crack/107379433
Cicada Song,boulder,Cicada Song,1,8,Cicada Song,,http://www.mountainproject.com//v/cicada-song/107379427
Clarence,boulder,Clarence,8,8,Clarence,,http://www.mountainproject.com//v/clarence/107378788
Clearance,boulder,Clearance,6,8,Clearance,,http://www.mountainproject.com//v/clearance/107378794
Clearance Arete,boulder,Clearance Arete,2.5,8,Clearance Arete,,http://www.mountainproject.com//v/clearance-arete/107378806
Fabio,boulder,Fabio,2,10,Fabio,,http://www.mountainproject.com//v/fabio/107378749
Fish Bait,boulder,Fish Bait,2,10,Fish Bait,,http://www.mountainproject.com//v/fish-bait/107379562
The Gate,boulder,The Gate,1,8,The Gate,,http://www.mountainproject.com//v/the-gate/107378815
Night Crawler,boulder,Night Crawler,0,8,Night Crawler,,http://www.mountainproject.com//v/night-crawler/107379571
Rice Hat,boulder,Rice Hat,2,8,Rice Hat,,http://www.mountainproject.com//v/rice-hat/107379413
Spraylord,boulder,Spraylord,7,15,Spraylord,,http://www.mountainproject.com//v/spraylord/107379540
Warning Signs,boulder,Warning Signs,5.5,10,Warning Signs,,http://www.mountainproject.com//v/warning-signs/107379469
